Name,Symbol,Link
Apple Inc,AAPL,https://www.slickcharts.com/symbol/AAPL/
Microsoft Corp,MSFT,https://www.slickcharts.com/symbol/MSFT/
Amazon.com Inc,AMZN,https://www.slickcharts.com/symbol/AMZN/
Alphabet Inc,GOOG,https://www.slickcharts.com/symbol/GOOG/
Alphabet Inc,GOOGL,https://www.slickcharts.com/symbol/GOOGL/
Tesla Inc,TSLA,https://www.slickcharts.com/symbol/TSLA/
NVIDIA Corp,NVDA,https://www.slickcharts.com/symbol/NVDA/
PepsiCo Inc,PEP,https://www.slickcharts.com/symbol/PEP/
Costco Wholesale Corp,COST,https://www.slickcharts.com/symbol/COST/
Meta Platforms Inc,META,https://www.slickcharts.com/symbol/META/
Broadcom Inc,AVGO,https://www.slickcharts.com/symbol/AVGO/
Cisco Systems Inc,CSCO,https://www.slickcharts.com/symbol/CSCO/
T-Mobile US Inc,TMUS,https://www.slickcharts.com/symbol/TMUS/
Texas Instruments Inc,TXN,https://www.slickcharts.com/symbol/TXN/
Adobe Inc,ADBE,https://www.slickcharts.com/symbol/ADBE/
Amgen Inc,AMGN,https://www.slickcharts.com/symbol/AMGN/
Comcast Corp,CMCSA,https://www.slickcharts.com/symbol/CMCSA/
Honeywell International Inc,HON,https://www.slickcharts.com/symbol/HON/
QUALCOMM Inc,QCOM,https://www.slickcharts.com/symbol/QCOM/
Netflix Inc,NFLX,https://www.slickcharts.com/symbol/NFLX/
Intel Corp,INTC,https://www.slickcharts.com/symbol/INTC/
Advanced Micro Devices Inc,AMD,https://www.slickcharts.com/symbol/AMD/
Starbucks Corp,SBUX,https://www.slickcharts.com/symbol/SBUX/
Intuit Inc,INTU,https://www.slickcharts.com/symbol/INTU/
Automatic Data Processing Inc,ADP,https://www.slickcharts.com/symbol/ADP/
Gilead Sciences Inc,GILD,https://www.slickcharts.com/symbol/GILD/
PayPal Holdings Inc,PYPL,https://www.slickcharts.com/symbol/PYPL/
Intuitive Surgical Inc,ISRG,https://www.slickcharts.com/symbol/ISRG/
Applied Materials Inc,AMAT,https://www.slickcharts.com/symbol/AMAT/
Mondelez International Inc,MDLZ,https://www.slickcharts.com/symbol/MDLZ/
Analog Devices Inc,ADI,https://www.slickcharts.com/symbol/ADI/
